id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_18h30m,0.0,0.0,0.11592339,0.0,0.14421168,0.07006988,0.06608615,0.3659985,0.43901166
0.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.113741845,0.09443384,0.028126819,0.14387234,0.25227815
0.csv_Day7_19h30m,0.0,0.0,0.01309263,0.0,0.0,0.08307886,0.034840297,0.026272552,0.035567634
0.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.040277205,0.04462094,0.045640644,0.06735182
0.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.014600992,0.034330077,0.05413764,0.05423818
0.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.02426061,0.0,0.017297167,0.052296456,0.043407064
0.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.016878223,0.028672883,0.032649357,0.06700964
0.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.07752247,0.05025932,0.055117432
0.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.012462139,0.0,0.038850307,0.036519527
0.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.07681735,0.06583892,0.0730245,0.039951682,0.06900787
0.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.026414245,0.058079924,0.046641767,0.08259757
0.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024293207,0.04432685
0.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.001608042,0.0,0.07614481,0.078229345,0.09084087
0.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.060892217,0.015432257,0.051307857
0.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.012247031,0.051739484,0.01753248,0.054901175,0.066206135
0.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.026558083,0.07521416,0.05464697
0.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0444337,0.020800084,0.07531327,0.04482822,0.03583259
0.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.017097969,0.045534484,0.058716394
0.csv_Day8_3h30m,0.0,0.0,0.0,0.0021949857,0.0,0.029143326,0.009644631,0.036418676,0.042307276
0.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.055067047,0.04706627,0.0011047572,0.03187751
0.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.03650117,0.029131588,0.0633795,0.075403005,0.055012785
0.csv_Day8_5h00m,0.0,0.0,0.0,0.02603319,0.051241048,0.13277283,0.028108038,0.103767894,0.13587254
0.csv_Day8_5h30m,0.0,0.0,0.0,0.06908043,0.16710219,0.0,0.07546706,0.37310126,0.23838416
0.csv_Day8_6h00m,0.0,0.031171005,0.059520997,0.12647974,0.13450427,0.36201146,0.02793203,0.2058558,0.23070212
0.csv_Day8_6h30m,0.0,0.011036929,0.17943487,0.0,0.13112766,0.80412257,0.0,0.23130286,0.0
0.csv_Day8_7h00m,0.08783122,0.0,0.32894045,0.27458155,0.5426674,1.5435727,0.47463828,1.2735424,0.902189
0.csv_Day8_7h30m,0.79135656,0.30598012,0.8512747,1.2607036,3.1235309,3.8409743,3.3801491,5.149836,4.9404535
0.csv_Day8_8h00m,3.418571,4.104063,5.272458,6.473106,9.474977,10.212956,9.525841,12.026827,12.233271
0.csv_Day8_8h30m,5.550065,7.5706663,10.194472,11.983133,16.535257,17.537937,17.355864,19.64923,20.081923
0.csv_Day8_9h00m,7.114635,10.380452,14.140871,17.01596,23.115545,24.333292,24.715069,27.186626,27.739475
0.csv_Day8_9h30m,9.2015915,12.943385,18.010489,21.585033,29.208101,30.767408,31.7715,34.2116,34.909805
0.csv_Day8_10h00m,12.700506,16.089407,21.374025,25.495148,33.366016,35.067596,36.999325,39.87893,40.855904
0.csv_Day8_10h30m,13.384965,19.149694,25.170984,29.806322,37.649414,39.447796,42.151276,45.106125,46.24786
0.csv_Day8_11h00m,14.098705,21.641844,28.937357,33.91877,41.78734,43.95553,45.451836,48.771923,50.376358
0.csv_Day8_11h30m,14.731108,22.129776,29.232887,34.493824,42.786327,45.615414,47.087494,50.51938,51.89988
0.csv_Day8_12h00m,14.569593,22.021719,30.82232,36.091347,43.248592,46.235584,47.588875,51.318085,53.1911
0.csv_Day8_12h30m,13.757204,21.294754,28.84829,33.872017,41.99431,45.47149,46.654827,50.326607,52.393997
0.csv_Day8_13h00m,13.517619,19.589113,26.229406,30.868864,39.43806,42.486355,44.121117,48.357285,50.358215
0.csv_Day8_13h30m,11.000332,16.449043,23.132477,27.543222,36.17548,39.466618,40.67567,44.675056,46.99393
0.csv_Day8_14h00m,10.132442,15.818934,22.407166,26.511534,33.25466,36.05857,36.603832,39.90773,41.960213
0.csv_Day8_14h30m,9.207856,13.564689,18.601034,22.321175,28.149899,30.54377,30.564222,33.793327,35.8897
0.csv_Day8_15h00m,6.6805587,10.564415,13.977504,17.058735,22.369152,24.560385,23.823399,27.154331,29.179674
0.csv_Day8_15h30m,4.4801183,6.506745,9.613788,11.862385,15.430725,16.754124,16.371948,19.796602,21.86928
0.csv_Day8_16h00m,2.8841155,3.8339007,5.059092,6.703369,8.927676,9.819601,8.946977,11.978367,13.873421
0.csv_Day8_16h30m,0.4908229,0.37025592,1.0916425,1.7445861,3.3568454,3.672055,2.5802963,4.994876,6.0502324
0.csv_Day8_17h00m,0.24342667,0.0,0.00988061,0.25471812,0.8279033,1.1187445,0.43054658,1.1575427,1.4649621
0.csv_Day8_17h30m,0.0,0.0,0.08140101,0.0,0.0026949653,0.5275277,0.0,0.28256068,0.109933056
0.csv_Day8_18h00m,0.0,0.0,0.0,0.18728939,0.1772434,0.2706586,0.18794072,0.3199586,0.4201576
0.csv_Day8_18h30m,0.0,0.0,0.03441743,0.004431002,0.13255276,0.1024923,0.09970974,0.37119603,0.403198
0.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.07596146,0.047462128,0.100663826,0.23049441
0.csv_Day8_19h30m,0.0,0.0,0.0,0.0,0.0,0.07946368,0.011669537,0.0672372,0.08232427
0.csv_Day8_20h00m,0.0,0.0,0.0,0.0067501087,0.008155847,0.016757296,0.019477842,0.034903616,0.026422454
0.csv_Day8_20h30m,0.0,0.0,0.0,0.022718702,0.0,0.04807286,0.017786633,0.042998485,0.031434026
0.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0059321206,0.026183255,0.042036515,0.023907056,0.09037106
0.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.010341875,0.094471835,0.029010892,0.0315125,0.044223692
0.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.03970742,0.039341126,0.05738017,0.010330541,0.06920913
0.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.004866464,0.030404892,0.039780237
0.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.046626903,0.0,0.017551502,0.051881544
0.csv_Day8_23h30m,0.0,0.0,0.0,0.024132874,0.0,0.027865235,0.050538756,0.052265488,0.059537128
1.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.04074282,0.039332043,0.09857436,0.045477927
1.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.017827444,0.01281134,0.045802087,0.038683653
1.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.010068301,0.008526804,0.03597956,0.053790636
1.csv_Day7_1h30m,0.0,0.0,0.0,0.038338795,0.019168595,0.031181289,0.030059844,0.03906687,0.025260774
1.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.032048084,0.06181642,0.071569785,0.07133611
1.csv_Day7_2h30m,0.0,0.0,0.0,0.0125698,0.0035026148,0.020192944,0.08472476,0.037939,0.03252018
1.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.061766,0.029805157,0.07162857
1.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.03916417,0.02524275,0.009283837,0.009205155,0.07054275
1.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.06478679,0.0,0.031203534,0.07338686
1.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.042370412,0.0,0.05901523,0.033053085,0.03306828
1.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.017259423,0.14186653,0.014188919,0.096859954,0.1348614
1.csv_Day7_5h30m,0.0,0.0,0.0,0.15274844,0.28783342,0.0,0.23407388,0.287051,0.25423664
1.csv_Day7_6h00m,0.0,0.0,0.15722841,0.036258135,0.25404608,0.0,0.0,0.4384003,0.47585693
1.csv_Day7_6h30m,0.0,0.17331778,0.0838007,0.0,0.06775716,0.60663474,0.0,0.5857194,0.6867502
1.csv_Day7_7h00m,0.033675425,0.33062822,0.5741055,0.40017807,0.4634778,1.5010093,1.0557412,1.9677542,2.1341293
1.csv_Day7_7h30m,1.0300812,2.0958207,2.3573864,2.9629562,3.5179517,4.57324,4.2022543,5.872392,6.5145993
1.csv_Day7_8h00m,4.5122356,7.81293,8.344747,9.756787,10.93547,11.564629,10.531823,12.931147,14.181768
1.csv_Day7_8h30m,7.465728,13.000067,14.919387,17.119802,18.990767,19.385918,18.606646,20.35597,21.688124
1.csv_Day7_9h00m,10.411624,18.426481,20.550829,23.46034,26.491676,27.157944,26.302532,27.93019,29.242628
1.csv_Day7_9h30m,12.62659,21.850716,25.244766,28.847534,33.32184,33.93657,33.455173,34.61371,36.104385
1.csv_Day7_10h00m,16.8754,28.368158,31.21937,35.560658,38.905216,39.72665,39.148838,40.683193,42.17569
1.csv_Day7_10h30m,17.957296,32.56201,35.528423,40.395473,43.97347,44.638554,44.06343,45.591927,47.152016
1.csv_Day7_11h00m,20.05213,34.952644,40.37247,45.51481,48.799515,48.810593,47.631977,49.18943,50.659866
1.csv_Day7_11h30m,20.085705,36.051884,40.646927,45.789825,50.0322,50.537987,48.889675,50.81996,52.277378
1.csv_Day7_12h00m,20.977386,36.67771,40.574703,46.102783,49.426105,50.581158,49.604645,51.32708,52.931442
1.csv_Day7_12h30m,20.024439,34.835293,40.237343,45.500927,48.290783,49.764256,48.43128,50.383026,52.040592
1.csv_Day7_13h00m,16.849564,32.308357,36.938217,41.998394,45.43662,46.96704,46.278053,48.03281,49.494957
1.csv_Day7_13h30m,15.202056,28.80055,33.0368,37.78219,42.093967,43.46002,42.60649,44.20121,45.583866
1.csv_Day7_14h00m,11.731733,26.069288,32.465904,36.998573,38.836998,39.974693,38.55106,39.37984,40.605972
1.csv_Day7_14h30m,11.440808,22.683283,27.116463,30.757063,32.91945,33.919945,31.996386,33.346558,34.671238
1.csv_Day7_15h00m,8.024697,18.432009,21.665144,24.82517,26.79358,27.246607,25.452227,26.567074,27.517225
1.csv_Day7_15h30m,6.0309925,13.346839,15.84587,18.651371,19.011623,19.401438,18.084074,18.811785,19.689318
1.csv_Day7_16h00m,3.9045162,8.149236,9.303768,11.314756,11.189277,11.990835,10.851381,11.397824,11.772706
1.csv_Day7_16h30m,0.790916,2.838719,3.087232,4.247389,4.198489,5.0275016,4.13767,4.1131496,4.4165525
1.csv_Day7_17h00m,0.17489533,0.5330328,0.4597587,0.91971165,0.7151029,1.2615775,1.0075355,0.90195996,1.2683408
1.csv_Day7_17h30m,0.0,0.0,0.023019113,0.0,0.0,0.4641282,0.13367987,0.45469415,0.38129294
1.csv_Day7_18h00m,0.0,0.0,0.0,0.049369417,0.16754493,0.004920869,0.08700747,0.3123093,0.32373103
1.csv_Day7_18h30m,0.0,0.0,0.13928476,0.0,0.14635843,0.01902565,0.15602604,0.29098874,0.29580778
1.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.14932606,0.11445109,0.07269308,0.08567701,0.1607072
1.csv_Day7_19h30m,0.0,0.0,0.030469589,0.0,0.0,0.08246802,0.028252285,0.029692428,0.039100714
1.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0465948,0.05389478,0.04199144,0.058446866
1.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.019705795,0.036475018,0.046001397,0.04697497
1.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.038313597,0.0,0.026131961,0.060762208,0.045183297
1.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.01878569,0.031280436,0.03273065,0.0657934
1.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.08784084,0.061486814,0.064178035
1.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.026748046,0.016658831,0.052621715,0.042233028
1.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.09964669,0.08149571,0.079581514,0.045177847,0.07763684
1.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.035358008,0.06544912,0.04431028,0.075239755
1.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.002410438,0.003628701,0.0,0.026931971,0.0436638
1.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.073030084,0.077595405,0.09248713
1.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0070314445,0.0,0.06827338,0.015731473,0.05477663
1.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.008841877,0.052736253,0.02196209,0.06051255,0.0733676
1.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0046302713,0.0,0.028395537,0.06998998,0.04161358
1.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.046098668,0.023346514,0.083703205,0.051006623,0.036904752
1.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.021383736,0.04604268,0.057742015
1.csv_Day8_3h30m,0.0,0.0,0.0,0.0070786476,0.0,0.034548566,0.013658144,0.043500863,0.046511237
1.csv_Day8_4h00m,0.0,0.0,0.0,0.0068177506,0.0,0.072397344,0.06552705,0.016574502,0.041781127
1.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.043951914,0.028136995,0.054572698,0.073508576,0.048478596
1.csv_Day8_5h00m,0.0,0.0,0.0,0.031260084,0.069951914,0.12544285,0.053964876,0.08137459,0.09678926
1.csv_Day8_5h30m,0.0,0.0,0.009024676,0.13796252,0.21054184,0.0,0.12990716,0.37240615,0.25066927
1.csv_Day8_6h00m,0.0,0.18607944,0.12883788,0.11461621,0.10497844,0.23669247,0.010702234,0.35736144,0.40349394
1.csv_Day8_6h30m,0.0,0.03401899,0.17269564,0.0,0.0,0.6721026,0.0,0.6753453,0.6303745
1.csv_Day8_7h00m,0.05196786,0.19295006,0.35113847,0.41943884,0.40956685,1.5152683,0.7074837,1.7119466,1.9107604
1.csv_Day8_7h30m,1.1665752,2.125271,1.9685297,2.8242948,3.7666323,4.5574627,4.0002604,5.4316516,6.13843
1.csv_Day8_8h00m,4.408707,7.825673,8.049151,9.839639,10.9700775,11.56981,10.339807,12.395708,13.537979
1.csv_Day8_8h30m,7.1281853,12.993861,14.800877,17.115911,19.035517,19.610085,18.349758,20.195734,21.535234
1.csv_Day8_9h00m,9.417819,18.13159,21.052267,24.5227,26.840723,27.374327,25.870466,27.627737,29.029512
1.csv_Day8_9h30m,12.218163,21.601381,26.037254,30.276596,33.61258,34.281593,32.992462,34.581924,35.965805
1.csv_Day8_10h00m,17.018005,27.64305,31.530336,36.37743,38.689648,39.269806,38.35298,40.265984,41.829735
1.csv_Day8_10h30m,17.656479,31.747486,36.66387,42.00148,43.68154,44.23509,43.825935,45.415184,46.71929
1.csv_Day8_11h00m,18.410393,34.601067,41.36486,46.865253,48.31,49.135326,47.270416,48.850468,50.301258
1.csv_Day8_11h30m,19.142899,35.159565,41.721172,47.5776,49.400734,50.92296,48.857502,50.713814,51.987144
1.csv_Day8_12h00m,18.835226,34.270298,43.69258,49.463203,49.84404,51.586082,49.46573,51.30323,52.774033
1.csv_Day8_12h30m,18.003817,33.617874,41.04147,46.52888,48.563576,50.827698,48.512463,50.44208,52.043747
1.csv_Day8_13h00m,17.27148,30.526884,37.147842,42.388885,45.553596,47.54106,46.04881,48.18359,49.48433
1.csv_Day8_13h30m,14.230561,26.257065,33.18146,38.304783,42.052635,44.404613,42.64874,44.354862,45.819317
1.csv_Day8_14h00m,12.767107,24.573875,31.862156,36.518097,38.40651,40.420757,38.37174,39.50931,40.833862
1.csv_Day8_14h30m,11.906965,22.342083,27.098673,31.394707,32.90883,34.610897,32.36032,33.257645,34.571354
1.csv_Day8_15h00m,8.351898,17.516344,20.560505,24.303846,26.219254,28.015358,25.438679,26.464308,27.681078
1.csv_Day8_15h30m,6.2883987,12.117153,14.978657,17.868597,18.518946,19.550085,17.89197,18.94286,20.122969
1.csv_Day8_16h00m,3.7420857,7.6217957,8.338945,10.815953,10.943373,11.842404,10.417209,11.133608,12.238474
1.csv_Day8_16h30m,0.7712585,2.6038158,2.7407393,4.1356664,4.425362,4.853676,3.728683,4.274251,4.7586513
1.csv_Day8_17h00m,0.27275276,0.54138154,0.28246626,1.058865,0.9656022,1.3515252,0.90420365,1.1382195,1.2999439
1.csv_Day8_17h30m,0.0,0.0,0.0,0.0,0.0,0.33094236,0.0,0.5836764,0.40914097
1.csv_Day8_18h00m,0.0,0.0,0.0,0.09904688,0.043601856,0.085236564,0.15712503,0.34248275,0.41588113
1.csv_Day8_18h30m,0.0,0.0,0.016076054,0.0,0.09056847,0.022444023,0.14686327,0.2847322,0.27624977
1.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.07272016,0.07966657,0.06818509,0.18630233
1.csv_Day8_19h30m,0.0,0.0,0.0,0.0052086357,0.0,0.08508942,0.008158958,0.056201953,0.07333414
1.csv_Day8_20h00m,0.0,0.0,0.0,0.0,0.0079195,0.019344384,0.019856049,0.036292203,0.026824316
1.csv_Day8_20h30m,0.0,0.0,0.0,0.031302024,0.0,0.05904959,0.025991429,0.051522933,0.03528456
1.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0,0.027717575,0.042049844,0.023594989,0.090564586
1.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.0,0.092550464,0.028345495,0.029447421,0.039302345
1.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.04642318,0.04500502,0.059629932,0.012456311,0.0703098
1.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.01529531,0.03543381,0.037523836
1.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.047101535,0.0,0.0144279655,0.048471034
1.csv_Day8_23h30m,0.0,0.0,0.0,0.017980557,0.0,0.019248735,0.038210414,0.050193198,0.058118336
2.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.048572663,0.042520452,0.09848138,0.04082436
2.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.02217041,0.021863565,0.052521907,0.043085806
2.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0044385605,0.0036581736,0.03424405,0.055800922
2.csv_Day7_1h30m,0.0,0.0,0.0,0.033852622,0.009421622,0.031110829,0.03234195,0.04409128,0.02178303
2.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.04151056,0.06971879,0.073814094,0.07201473
2.csv_Day7_2h30m,0.0,0.0,0.0,0.026482023,0.013228923,0.030518241,0.09491697,0.037162382,0.0349393
2.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.07190052,0.035403308,0.07676795
2.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.04955627,0.030664627,0.0028255843,0.006432615,0.06437284
2.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.050060164,0.0,0.019422695,0.06411427
2.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.038957644,0.0,0.07248073,0.029850474,0.033711515
2.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.015926518,0.13426664,0.05984358,0.13727608,0.17107798
2.csv_Day7_5h30m,0.0,0.0,0.0,0.12913969,0.36326578,0.0,0.36836058,0.32654086,0.29666615
2.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.27686882,0.0,0.0,0.18576294,0.38270974
2.csv_Day7_6h30m,0.0,0.060895722,0.0,0.0,0.15383038,0.78523356,0.3318024,0.7216144,1.2394825
2.csv_Day7_7h00m,0.3306636,0.2966817,0.53527504,0.5706178,0.7769621,2.0567167,2.486453,3.801383,4.899149
2.csv_Day7_7h30m,2.0443099,2.5279531,2.92165,4.029205,4.543912,5.9410415,6.869178,9.356166,11.288836
2.csv_Day7_8h00m,5.8749638,8.519661,9.192855,11.221764,12.472163,13.52227,14.115971,17.241798,19.725386
2.csv_Day7_8h30m,9.3512745,13.814577,15.84135,18.845253,20.797403,21.6483,22.75262,25.218195,27.909323
2.csv_Day7_9h00m,12.81633,19.563566,21.776093,25.669685,28.764805,29.915148,31.071795,33.231403,35.78897
2.csv_Day7_9h30m,15.257575,23.149736,26.630365,31.278835,35.964714,37.069588,38.74715,40.33626,42.96619
2.csv_Day7_10h00m,19.773111,29.856228,32.816032,38.30807,41.765064,43.107433,44.73707,46.596004,49.130642
2.csv_Day7_10h30m,20.895765,34.20184,37.16798,43.249,47.055805,48.30697,49.914066,51.773785,54.14248
2.csv_Day7_11h00m,22.789526,36.422333,41.783966,48.107895,51.85848,52.46546,53.835728,55.70285,57.875538
2.csv_Day7_11h30m,22.922152,37.61136,42.05983,48.388435,53.17473,54.308495,55.252953,57.467487,59.53892
2.csv_Day7_12h00m,23.770039,38.367405,42.15901,48.941204,52.699596,54.583645,56.16052,58.132633,60.18085
2.csv_Day7_12h30m,22.597355,36.391693,41.784916,48.239902,51.404797,53.64063,54.762375,56.984234,59.200542
2.csv_Day7_13h00m,18.963713,33.803566,38.44984,44.67855,48.569965,50.840412,52.617996,54.74794,56.68193
2.csv_Day7_13h30m,16.966763,30.193018,34.4683,40.320004,45.045296,47.155582,48.75186,50.885994,52.796673
2.csv_Day7_14h00m,13.200911,27.24205,33.915333,39.447132,41.631573,43.518528,44.647522,46.154064,47.922234
2.csv_Day7_14h30m,12.989647,23.800755,28.29741,32.82867,35.51169,37.257088,37.737083,39.86987,41.81976
2.csv_Day7_15h00m,9.120096,19.325958,22.5757,26.533278,29.002106,30.14417,30.790958,32.936832,34.509663
2.csv_Day7_15h30m,7.0872874,14.350922,17.037493,20.59424,21.204165,22.209124,22.924227,24.813242,26.309057
2.csv_Day7_16h00m,4.6821446,9.049823,10.483713,13.147552,13.181352,14.583278,15.447975,17.32316,18.27427
2.csv_Day7_16h30m,1.2929367,3.5520122,4.2015424,5.916286,5.815159,7.136757,7.93197,9.129196,9.990968
2.csv_Day7_17h00m,0.47615117,0.833386,0.9399861,1.7607245,1.349578,2.2018788,2.6005058,2.8204372,3.690518
2.csv_Day7_17h30m,0.024949064,0.0,9.456044e-05,0.012322333,0.010186296,0.64360017,0.2845504,0.34888455,0.5901966
2.csv_Day7_18h00m,0.0,0.0,0.0,0.019256314,0.15000908,0.0,0.02661017,0.07877579,0.18863027
2.csv_Day7_18h30m,0.0,0.0,0.117912695,0.0,0.1527574,0.0003890805,0.259212,0.37424156,0.35500792
2.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.1716793,0.12532489,0.13670214,0.15526016,0.21537334
